2020-06-13;12:47:50.783;2
2020-06-13;12:47:53.783;2
2020-06-13;12:47:56.784;2
2020-06-13;12:47:59.784;2
2020-06-13;12:48:02.784;2
2020-06-13;12:48:05.796;2
2020-06-13;12:48:11.801;3
2020-06-13;12:48:17.812;2
2020-06-13;12:48:20.812;2
2020-06-13;12:48:23.815;2
2020-06-13;12:48:29.827;2
2020-06-13;12:48:32.836;2
2020-06-13;14:46:18.554;2
2020-06-13;14:46:24.513;2
2020-06-13;14:46:30.513;2
2020-06-13;14:46:36.515;2
2020-06-13;14:46:39.516;3
2020-06-13;14:46:42.516;2
2020-06-13;14:46:45.518;3
2020-06-13;14:46:48.518;3
2020-06-13;14:47:03.519;2
2020-06-13;14:47:06.519;3
2020-06-13;14:47:09.520;3
2020-06-13;14:47:15.520;2
